Km30,Km90,Km92.5,Km111,Km135,Km137.5,Km143,Caudal,Obstruccion,Ubicacion,Grado
500,-350449.33867814776,-365072.2277897372,-473281.60721549945,-613661.3426867585,-628284.231798348,-660454.5878438449,114.24887051315008,Si,137.5,70
500,-625.6518493417982,-672.5540097310397,-1019.6299966114275,-1469.8907363481467,-1516.7928967373882,-1619.97764959372,97.97424586643014,Si,30,10
500,-20034.139221206213,-20889.72835542314,-27221.08794862839,-35434.74363711088,-36290.332771327805,-38172.62886660504,99.1316011986417,Si,92.5,50
500,-7688.234469458685,-8029.410905686131,-10554.116533769225,-13829.4103215527,-14170.586757780144,-14921.174917480523,148.045500048652,Si,30,30
500,-202358.48517780137,-210810.92206020976,-273358.95499003184,-354502.34906115243,-362954.7859435608,-381550.1470848593,85.87106269603417,Si,143,70
500,-63.027810167580014,-86.48730225789586,-260.0875437262331,-485.29866779326517,-508.758159883581,-560.3690424822757,88.53754353731097,No,Ninguna,0
500,-4671.421242732616,-4886.897127846474,-6481.41867768903,-8549.987174782076,-8765.463059895936,-9239.510007146426,115.4073000321643,Si,137.5,30
500,-26846.658636937573,-27986.10274680997,-36417.98915986573,-47356.652614640756,-48496.096724513154,-51002.873766232435,115.55782254413245,Si,30,50
500,-314764.1277408034,-327900.1330633369,-425106.5724500846,-551212.223546406,-564348.2288689394,-593247.4405785131,108.06079964920887,Si,30,70
500,-673.4221893655931,-722.3147805891595,-1084.1199556435506,-1553.4888313897877,-1602.381422613354,-1709.9451233052,100.2502785068871,Si,30,10
500,-207.16376519662674,-236.62892207981952,-454.67108301544613,-737.5365890940968,-767.0017459772896,-831.8250911203138,100.48880545028895,No,Ninguna,0
500,-5521.321438214176,-5772.2098314731,-7628.783941589138,-10037.312516874808,-10288.200910133732,-10840.155375303364,125.35259600509397,Si,30,30
500,-15009.720728138282,-15655.95909181071,-20438.12298298668,-26642.01127424199,-27288.24963791442,-28709.974037993765,85.24757857353121,Si,92.5,50
500,-354.1432077798621,-389.73250810402305,-653.0933305028138,-994.7506136147585,-1030.3399139389194,-1108.6363746520733,84.08732033731684,Si,30,10
500,-6116.008588167995,-6391.675612674995,-8431.611594026794,-11078.015029293992,-11353.682053800992,-11960.149507716393,131.92042535036717,Si,90,30
500,-439.3705106854053,-478.51094863063054,-768.1501894252972,-1143.8983936994591,-1183.0388316446843,-1269.1477951241798,88.64061237456724,Si,90,10
500,-3510.057629155726,-3677.143363703881,-4913.57779936023,-6517.60085102252,-6684.686585570676,-7052.275201576617,100.46922641076185,Si,137.5,30
500,-28422.513723241125,-29627.618461709506,-38545.39352637552,-50114.39901567197,-51319.50375414034,-53970.73417877078,119.06479134616016,Si,30,50
500,-2549.6178158270654,-2676.6852248198597,-3616.9840513665386,-4836.831177697365,-4963.898586690159,-5243.446886474307,86.48970415179873,Si,92.5,30
500,-396.1155904885701,-433.45374009226055,-709.7560471595698,-1068.202283354998,-1105.5404329586884,-1187.6843620868074,114.57050617123352,No,Ninguna,0
